xcoord,ycoord
-101.914157,21.318061
-101.889709,21.283152
-101.848279,21.274495
-101.829295,21.151819
-101.735143,20.418227
-101.723651,21.148966
-101.645967,20.449518
-101.588411,20.44468
-101.515019,21.020737
-101.478221,20.91086
-101.455238,20.951702
-101.452681,20.491149
-101.442892,20.912552
-101.42796,20.85173
-101.427771,20.84928
-101.41770700000001,20.929114
-101.406458,20.854353
-101.390031,20.547468
-101.376213,20.776771
-101.362682,20.806578000000002
-101.362634,20.704541
-101.354308,20.570485
-101.351149,20.862144
-101.337484,20.716353
-101.320046,20.562781
-101.306675,20.681092
-101.29847,20.698577
-101.273573,20.527056
-101.267033,20.636894
-101.25386,20.532825
-101.250838,20.514178
-101.218186,20.526632
-101.211027,20.377909
-101.20573,20.3931
-101.200271,20.334336
-101.196974,20.626895
-101.192393,20.261302
-101.182669,20.342199
-101.176919,20.223349
-101.171297,20.518647
-101.168496,20.194523
-101.157604,20.07245
-101.151713,20.2125
-101.130359,20.05866
-101.101284,20.526510000000002
-101.038305,20.550794
-101.024246,20.537214
-100.976419,20.52086
-100.975456,20.532764
-100.96715,20.517598
-100.938829,20.507081
-100.938829,20.507081
-100.908304,20.501334
-100.882812,20.511575
-100.772819,20.50841
-100.756495,20.476354
-100.690281,20.481609
-100.690152,20.526467
-100.637843,20.48303
-100.637843,20.48303
-100.578365,20.449286
-100.521331,20.490734
-100.502782,20.519318
-100.486829,20.551218
-100.427477,20.418881
-100.343934,20.432625
-100.335308,20.456755
-100.318014,20.459147
-100.317368,20.563437
-100.278066,20.574056
-100.181593,20.475682
-100.053747,20.420583
